order_details_id,order_id,pizza_id,quantity
1,1,hawaiian_m,00:00:01
2,2,classic_dlx_m,00:00:01
3,2,five_cheese_l,00:00:01
4,2,ital_supr_l,00:00:01
5,2,mexicana_m,00:00:01
6,2,thai_ckn_l,00:00:01
7,3,ital_supr_m,00:00:01
8,3,prsc_argla_l,00:00:01
9,4,ital_supr_m,00:00:01
10,5,ital_supr_m,00:00:01
11,6,bbq_ckn_s,00:00:01
12,6,the_greek_s,00:00:01
13,7,spinach_supr_s,00:00:01
14,8,spinach_supr_s,00:00:01
15,9,classic_dlx_s,00:00:01
16,9,green_garden_s,00:00:01
17,9,ital_cpcllo_l,00:00:01
18,9,ital_supr_l,00:00:01
19,9,ital_supr_s,00:00:01
20,9,mexicana_s,00:00:01
21,9,spicy_ital_l,00:00:01
22,9,spin_pesto_l,00:00:01
23,9,veggie_veg_s,00:00:01
24,10,mexicana_l,00:00:01
25,10,southw_ckn_l,00:00:01
26,11,bbq_ckn_l,00:00:01
27,11,cali_ckn_l,00:00:01
28,11,cali_ckn_m,00:00:01
29,11,pepperoni_l,00:00:01
30,12,cali_ckn_l,00:00:01
31,12,cali_ckn_s,00:00:01
32,12,ckn_pesto_l,00:00:01
33,12,ital_supr_m,00:00:01
34,13,mexicana_l,00:00:01
35,14,the_greek_s,00:00:01
36,15,big_meat_s,00:00:01
37,15,five_cheese_l,00:00:01
38,15,soppressata_l,00:00:01
39,15,the_greek_s,00:00:01
40,16,four_cheese_l,00:00:01
41,16,napolitana_s,00:00:01
42,16,thai_ckn_l,00:00:01
43,17,bbq_ckn_l,00:00:01
44,17,calabrese_m,00:00:01
45,17,five_cheese_l,00:00:01
46,17,four_cheese_m,00:00:01
47,17,ital_supr_m,00:00:01
48,17,ital_veggie_s,00:00:01
49,17,mediterraneo_m,00:00:02
50,17,mexicana_l,00:00:01
51,17,peppr_salami_s,00:00:01
52,17,spinach_fet_l,00:00:01
53,18,napolitana_l,00:00:01
54,19,ital_cpcllo_l,00:00:01
55,19,sicilian_l,00:00:01
56,20,big_meat_s,00:00:01
57,20,five_cheese_l,00:00:01
58,21,ital_cpcllo_l,00:00:01
59,22,five_cheese_l,00:00:01
60,22,ital_cpcllo_m,00:00:01
61,22,southw_ckn_l,00:00:01
62,23,southw_ckn_s,00:00:01
63,24,bbq_ckn_m,00:00:01
64,24,ital_cpcllo_m,00:00:01
65,24,pepperoni_m,00:00:01
66,24,prsc_argla_s,00:00:01
67,25,sicilian_m,00:00:01
68,25,thai_ckn_l,00:00:01
69,26,classic_dlx_s,00:00:01
70,26,veggie_veg_l,00:00:01
71,27,bbq_ckn_l,00:00:01
72,27,classic_dlx_m,00:00:01
73,27,spinach_fet_l,00:00:01
74,28,ckn_alfredo_s,00:00:01
75,29,green_garden_s,00:00:01
76,30,thai_ckn_l,00:00:01
77,31,mexicana_m,00:00:01
78,31,pepperoni_s,00:00:01
79,32,big_meat_s,00:00:01
80,32,green_garden_l,00:00:01
81,32,ital_cpcllo_l,00:00:01
82,32,ital_supr_m,00:00:01
83,33,bbq_ckn_l,00:00:01
84,33,green_garden_s,00:00:01
85,34,the_greek_s,00:00:01
86,35,green_garden_m,00:00:01
87,35,pep_msh_pep_l,00:00:01
88,35,pepperoni_m,00:00:01
89,35,thai_ckn_l,00:00:01
90,36,bbq_ckn_m,00:00:01
91,36,classic_dlx_m,00:00:01
92,37,ital_supr_l,00:00:01
93,37,mexicana_l,00:00:01
94,38,hawaiian_s,00:00:01
95,38,ital_cpcllo_l,00:00:01
96,39,ital_supr_l,00:00:01
97,40,four_cheese_l,00:00:01
98,40,southw_ckn_s,00:00:01
99,41,four_cheese_m,00:00:01
100,41,green_garden_s,00:00:01
101,42,big_meat_s,00:00:01
102,42,five_cheese_l,00:00:01
103,42,mexicana_l,00:00:01
